,Name,Genre,Year,reviews,min_rating,avr_rating,max_rating
30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,Drama,1995,74.0,1.0,3.6486486486486487,5.0
31,Dangerous Minds ,Drama,1995,141.0,1.0,3.1134751773049647,5.0
32,Twelve Monkeys ,Drama|Sci-Fi,1995,1511.0,1.0,3.945731303772336,5.0
33,Wings of Courage ,Adventure|Romance,1995,4.0,2.0,3.0,4.0
34,Babe ,Children's|Comedy|Drama,1995,1751.0,1.0,3.8914905768132497,5.0
35,Carrington ,Drama|Romance,1995,70.0,1.0,3.3142857142857145,5.0
36,Dead Man Walking ,Drama,1995,928.0,1.0,3.9579741379310347,5.0
37,Across the Sea of Time ,Documentary,1995,8.0,1.0,3.5,5.0
38,It Takes Two ,Comedy,1995,28.0,1.0,2.8214285714285716,5.0
39,Clueless ,Comedy|Romance,1995,1362.0,1.0,3.6233480176211454,5.0
40,"Cry, the Beloved Country ",Drama,1995,30.0,2.0,3.933333333333333,5.0
41,Richard III ,Drama|War,1995,242.0,1.0,3.958677685950413,5.0
42,Dead Presidents ,Action|Crime|Drama,1995,221.0,1.0,2.8687782805429864,5.0
43,Restoration ,Drama,1995,166.0,1.0,3.4457831325301207,5.0
44,Mortal Kombat ,Action|Adventure,1995,311.0,1.0,2.787781350482315,5.0
45,To Die For ,Comedy|Drama,1995,544.0,1.0,3.4246323529411766,5.0
46,How to Make an American Quilt ,Drama|Romance,1995,166.0,1.0,3.108433734939759,5.0
47,Seven  ,Crime|Thriller,1995,1137.0,1.0,4.106420404573439,5.0
48,Pocahontas ,Animation|Children's|Musical|Romance,1995,382.0,1.0,2.9764397905759163,5.0
49,When Night Is Falling ,Drama|Romance,1995,27.0,2.0,3.740740740740741,5.0
50,"Usual Suspects, The ",Crime|Thriller,1995,1783.0,1.0,4.517106001121705,5.0
51,Guardian Angel ,Action|Drama|Thriller,1994,0.0,,,
52,Mighty Aphrodite ,Comedy,1995,431.0,1.0,3.640371229698376,5.0
53,Lamerica ,Drama,1994,8.0,4.0,4.75,5.0
54,"Big Green, The ",Children's|Comedy,1995,41.0,1.0,2.5609756097560976,5.0
55,Georgia ,Drama,1995,45.0,1.0,3.066666666666667,5.0
56,Kids of the Round Table ,Adventure|Children's|Fantasy,1995,9.0,1.0,2.0,4.0
57,Home for the Holidays ,Drama,1995,99.0,1.0,3.404040404040404,5.0
58,"Postino, Il (The Postman) ",Drama|Romance,1994,501.0,1.0,4.093812375249501,5.0
59,"Confessional, The (Le Confessionnal) ",Drama|Mystery,1995,8.0,1.0,2.75,5.0
60,"Indian in the Cupboard, The ",Adventure|Children's|Fantasy,1995,357.0,1.0,3.212885154061625,5.0
61,Eye for an Eye ,Drama|Thriller,1996,67.0,1.0,3.0,5.0
62,Mr. Holland's Opus ,Drama,1995,541.0,1.0,3.6968576709796674,5.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Comedy,1996,111.0,1.0,2.855855855855856,5.0
64,Two if by Sea ,Comedy|Romance,1996,79.0,1.0,2.2658227848101267,4.0
65,Bio-Dome ,Comedy,1996,143.0,1.0,2.062937062937063,5.0
66,Lawnmower Man 2: Beyond Cyberspace ,Sci-Fi|Thriller,1996,97.0,1.0,1.6701030927835052,4.0
67,Two Bits ,Drama,1995,4.0,2.0,3.25,4.0
68,French Twist (Gazon maudit) ,Comedy|Romance,1995,60.0,1.0,3.45,5.0
69,Friday ,Comedy,1995,319.0,1.0,3.6551724137931036,5.0
70,From Dusk Till Dawn ,Action|Comedy|Crime|Horror|Thriller,1996,914.0,1.0,3.1564551422319473,5.0
71,Fair Game ,Action,1995,96.0,1.0,2.1041666666666665,5.0
72,Kicking and Screaming ,Comedy|Drama,1995,93.0,1.0,3.6344086021505375,5.0
73,"Misйrables, Les ",Drama|Musical,1995,224.0,1.0,3.8169642857142856,5.0
74,Bed of Roses ,Drama|Romance,1996,120.0,1.0,2.975,5.0
75,Big Bully ,Comedy|Drama,1996,12.0,1.0,1.9166666666666667,4.0
76,Screamers ,Sci-Fi|Thriller,1995,178.0,1.0,2.853932584269663,5.0
77,Nico Icon ,Documentary,1995,34.0,2.0,3.764705882352941,5.0
78,"Crossing Guard, The ",Drama,1995,50.0,1.0,3.26,5.0
79,"Juror, The ",Drama|Thriller,1996,114.0,1.0,2.6052631578947367,5.0
80,"White Balloon, The (Badkonake Sefid ) ",Drama,1995,52.0,2.0,3.826923076923077,5.0
81,Things to Do in Denver when You're Dead ,Crime|Drama|Romance,1995,166.0,1.0,3.1626506024096384,5.0
82,Antonia's Line  ,Drama,1995,89.0,1.0,3.8764044943820224,5.0
83,Once Upon a Time... When We Were Colored ,Drama,1995,33.0,2.0,3.696969696969697,5.0
84,Last Summer in the Hamptons ,Comedy|Drama,1995,21.0,1.0,3.0952380952380953,5.0
85,Angels and Insects ,Drama|Romance,1995,194.0,1.0,3.402061855670103,5.0
86,White Squall ,Adventure|Drama,1996,236.0,1.0,3.3940677966101696,5.0
87,Dunston Checks In ,Children's|Comedy,1996,76.0,1.0,2.210526315789474,5.0
88,Black Sheep ,Comedy,1996,192.0,1.0,2.9427083333333335,5.0
89,Nick of Time ,Action|Thriller,1995,229.0,1.0,3.074235807860262,5.0
90,"Journey of August King, The ",Drama,1995,6.0,2.0,3.6666666666666665,5.0
92,Mary Reilly ,Drama|Thriller,1996,88.0,1.0,2.340909090909091,5.0
93,Vampire in Brooklyn ,Comedy|Romance,1995,89.0,1.0,2.235955056179775,5.0
94,Beautiful Girls ,Drama,1996,182.0,1.0,3.7252747252747254,5.0
95,Broken Arrow ,Action|Thriller,1996,638.0,1.0,2.876175548589342,5.0
96,In the Bleak Midwinter ,Comedy,1995,13.0,2.0,3.923076923076923,5.0
97,"Hate (Haine, La) ",Drama,1995,44.0,1.0,3.75,5.0
98,Shopping ,Action|Thriller,1994,6.0,1.0,2.0,3.0
99,Heidi Fleiss: Hollywood Madam ,Documentary,1995,50.0,1.0,3.46,5.0
100,City Hall ,Drama|Thriller,1996,128.0,1.0,3.0625,5.0
101,Bottle Rocket ,Comedy,1996,253.0,1.0,3.869565217391304,5.0
102,Mr. Wrong ,Comedy,1996,60.0,1.0,1.8166666666666667,4.0
103,Unforgettable ,Thriller,1996,33.0,1.0,3.212121212121212,5.0
104,Happy Gilmore ,Comedy,1996,682.0,1.0,3.526392961876833,5.0
105,"Bridges of Madison County, The ",Drama|Romance,1995,387.0,1.0,3.2325581395348837,5.0
106,Nobody Loves Me (Keiner liebt mich) ,Comedy|Drama,1994,12.0,1.0,3.5833333333333335,5.0
107,Muppet Treasure Island ,Adventure|Children's|Comedy|Musical,1996,256.0,1.0,3.1484375,5.0
108,Catwalk ,Documentary,1995,7.0,1.0,2.857142857142857,5.0
109,Headless Body in Topless Bar ,Comedy,1995,0.0,,,
110,Braveheart ,Action|Drama|War,1995,2443.0,1.0,4.234957020057307,5.0
111,Taxi Driver ,Drama|Thriller,1976,1240.0,1.0,4.183870967741935,5.0
112,Rumble in the Bronx ,Action|Adventure|Crime,1995,570.0,1.0,3.443859649122807,5.0
113,Before and After ,Drama|Mystery,1996,53.0,1.0,2.981132075471698,5.0
114,Margaret's Museum ,Drama,1995,11.0,2.0,3.090909090909091,5.0
115,Happiness Is in the Field ,Comedy,1995,0.0,,,
116,Anne Frank Remembered ,Documentary,1995,41.0,1.0,4.097560975609756,5.0
117,"Young Poisoner's Handbook, The ",Crime,1995,79.0,2.0,3.632911392405063,5.0
118,If Lucy Fell ,Comedy|Romance,1996,68.0,1.0,3.073529411764706,5.0
119,"Steal Big, Steal Little ",Comedy,1995,13.0,1.0,2.4615384615384617,5.0
120,Race the Sun ,Drama,1996,3.0,2.0,2.6666666666666665,3.0
121,"Boys of St. Vincent, The ",Drama,1993,37.0,3.0,4.054054054054054,5.0
122,Boomerang ,Comedy|Romance,1992,194.0,1.0,2.768041237113402,5.0
123,Chungking Express ,Drama|Mystery|Romance,1994,115.0,1.0,3.869565217391304,5.0
124,"Star Maker, The (Uomo delle stelle, L') ",Drama,1995,14.0,1.0,3.2142857142857144,5.0
125,Flirting With Disaster ,Comedy,1996,318.0,1.0,3.8333333333333335,5.0
126,"NeverEnding Story III, The ",Adventure|Children's|Fantasy,1994,99.0,1.0,1.9898989898989898,5.0
127,"Silence of the Palace, The (Saimt el Qusur) ",Drama,1994,1.0,1.0,1.0,1.0
128,Jupiter's Wife ,Documentary,1994,12.0,3.0,4.333333333333333,5.0
129,Pie in the Sky ,Comedy|Romance,1995,13.0,2.0,3.3076923076923075,4.0
130,Angela ,Drama,1995,2.0,3.0,4.0,5.0
131,Frankie Starlight ,Drama|Romance,1995,16.0,1.0,3.0625,5.0
132,Jade ,Thriller,1995,91.0,1.0,2.4945054945054945,5.0
133,Nueba Yol ,Comedy|Drama,1995,1.0,1.0,1.0,1.0
134,Sonic Outlaws ,Documentary,1995,2.0,4.0,4.0,4.0
135,Down Periscope ,Comedy,1996,133.0,1.0,2.81203007518797,5.0
136,From the Journals of Jean Seberg ,Documentary,1995,8.0,1.0,3.25,5.0
137,Man of the Year ,Documentary,1995,13.0,1.0,3.0,5.0
138,"Neon Bible, The ",Drama,1995,2.0,1.0,2.5,4.0
139,Target ,Action|Drama,1995,1.0,4.0,4.0,4.0
140,Up Close and Personal ,Drama|Romance,1996,139.0,1.0,3.1654676258992804,5.0
141,"Birdcage, The ",Comedy,1996,682.0,1.0,3.5498533724340176,5.0
142,Shadows  ,Drama,1988,1.0,1.0,1.0,1.0
143,Gospa ,Drama,1995,0.0,,,
144,"Brothers McMullen, The ",Comedy,1995,433.0,1.0,3.392609699769053,5.0
145,Bad Boys ,Action,1995,362.0,1.0,3.2955801104972378,5.0
146,"Amazing Panda Adventure, The ",Adventure|Children's,1995,18.0,1.0,2.888888888888889,5.0
147,"Basketball Diaries, The ",Drama,1995,181.0,1.0,3.541436464088398,5.0
148,"Awfully Big Adventure, An ",Drama,1995,23.0,1.0,2.782608695652174,5.0
149,Amateur ,Crime|Drama|Thriller,1994,47.0,1.0,3.7872340425531914,5.0
150,Apollo 13 ,Drama,1995,1251.0,1.0,4.073541167066347,5.0
151,Rob Roy ,Drama|Romance|War,1995,554.0,1.0,3.588447653429603,5.0
152,"Addiction, The ",Horror,1995,69.0,1.0,3.0,5.0
153,Batman Forever ,Action|Adventure|Comedy|Crime,1995,777.0,1.0,2.642213642213642,5.0
154,Belle de jour ,Drama,1967,168.0,1.0,3.7261904761904763,5.0
155,Beyond Rangoon ,Drama|War,1995,87.0,1.0,3.413793103448276,5.0
156,Blue in the Face ,Comedy,1995,66.0,1.0,3.5606060606060606,5.0
157,Canadian Bacon ,Comedy|War,1994,187.0,1.0,2.732620320855615,5.0
158,Casper ,Adventure|Children's,1995,259.0,1.0,2.9806949806949805,5.0
159,Clockers ,Drama,1995,116.0,1.0,3.2844827586206895,5.0
160,Congo ,Action|Adventure|Mystery|Sci-Fi,1995,565.0,1.0,2.2389380530973453,5.0
161,Crimson Tide ,Drama|Thriller|War,1995,760.0,1.0,3.723684210526316,5.0
162,Crumb ,Documentary,1994,491.0,1.0,4.063136456211812,5.0
163,Desperado ,Action|Romance|Thriller,1995,540.0,1.0,3.4574074074074073,5.0
164,Devil in a Blue Dress ,Crime|Film-Noir|Mystery|Thriller,1995,379.0,1.0,3.5672823218997363,5.0
165,Die Hard: With a Vengeance ,Action|Thriller,1995,825.0,1.0,3.561212121212121,5.0
166,"Doom Generation, The ",Comedy|Drama,1995,61.0,1.0,2.459016393442623,5.0
167,Feast of July ,Drama,1995,5.0,3.0,3.6,5.0
168,First Knight ,Action|Adventure|Drama|Romance,1995,362.0,1.0,2.9502762430939224,5.0
169,Free Willy 2: The Adventure Home ,Adventure|Children's|Drama,1995,113.0,1.0,2.017699115044248,5.0
170,Hackers ,Action|Crime|Thriller,1995,321.0,1.0,3.146417445482866,5.0
171,Jeffrey ,Comedy,1995,93.0,1.0,3.5698924731182795,5.0
172,Johnny Mnemonic ,Action|Sci-Fi|Thriller,1995,458.0,1.0,2.576419213973799,5.0
173,Judge Dredd ,Action|Adventure|Sci-Fi,1995,564.0,1.0,2.3085106382978724,5.0
174,Jury Duty ,Comedy,1995,81.0,1.0,2.308641975308642,5.0
175,Kids ,Drama,1995,220.0,1.0,3.477272727272727,5.0
176,Living in Oblivion ,Comedy,1995,205.0,1.0,3.9170731707317072,5.0
177,Lord of Illusions ,Horror,1995,139.0,1.0,2.7338129496402876,5.0
178,Love & Human Remains ,Comedy,1993,19.0,2.0,3.473684210526316,5.0
179,Mad Love ,Drama|Romance,1995,48.0,1.0,2.2083333333333335,5.0
180,Mallrats ,Comedy,1995,451.0,1.0,3.5476718403547673,5.0
181,Mighty Morphin Power Rangers: The Movie ,Action|Children's,1995,93.0,1.0,1.6129032258064515,4.0
182,Moonlight and Valentino ,Drama|Romance,1995,49.0,1.0,3.142857142857143,5.0
183,Mute Witness ,Thriller,1994,29.0,1.0,3.4827586206896552,5.0
184,Nadja ,Drama,1994,26.0,1.0,3.3461538461538463,5.0
185,"Net, The ",Sci-Fi|Thriller,1995,569.0,1.0,2.869947275922671,5.0
186,Nine Months ,Comedy,1995,211.0,1.0,2.7630331753554502,5.0
187,Party Girl ,Comedy,1995,105.0,1.0,3.238095238095238,5.0
188,"Prophecy, The ",Horror,1995,190.0,1.0,3.221052631578947,5.0
189,Reckless ,Comedy,1995,15.0,2.0,3.4,5.0
190,Safe ,Thriller,1995,100.0,1.0,3.75,5.0
191,"Scarlet Letter, The ",Drama,1995,75.0,1.0,2.466666666666667,5.0
192,"Show, The ",Documentary,1995,2.0,2.0,3.0,4.0
193,Showgirls ,Drama,1995,217.0,1.0,2.0506912442396312,5.0
194,Smoke ,Drama,1995,213.0,1.0,3.755868544600939,5.0
195,Something to Talk About ,Comedy|Drama|Romance,1995,164.0,1.0,2.841463414634146,5.0
196,Species ,Horror|Sci-Fi,1995,550.0,1.0,2.8236363636363637,5.0
197,"Stars Fell on Henrietta, The ",Drama,1995,17.0,1.0,3.0588235294117645,5.0
198,Strange Days ,Action|Crime|Sci-Fi,1995,605.0,1.0,3.2958677685950413,5.0
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) ",Drama|Musical,1964,117.0,1.0,3.8119658119658117,5.0
200,"Tie That Binds, The ",Thriller,1995,12.0,1.0,2.4166666666666665,4.0
201,Three Wishes ,Drama,1995,33.0,1.0,2.6363636363636362,4.0
202,Total Eclipse ,Drama|Romance,1995,30.0,1.0,2.5,5.0
203,"To Wong Foo, Thanks for Everything! Julie Newmar ",Comedy,1995,203.0,1.0,3.0541871921182264,5.0
204,Under Siege 2: Dark Territory ,Action,1995,203.0,1.0,2.9211822660098523,5.0
205,Unstrung Heroes ,Comedy|Drama,1995,85.0,1.0,3.611764705882353,5.0
206,Unzipped ,Documentary,1995,82.0,1.0,3.6707317073170733,5.0
207,"Walk in the Clouds, A ",Drama|Romance,1995,219.0,1.0,3.132420091324201,5.0
208,Waterworld ,Action|Adventure,1995,651.0,1.0,2.6313364055299537,5.0
209,White Man's Burden ,Drama,1995,52.0,1.0,2.4615384615384617,5.0
210,Wild Bill ,Western,1995,41.0,1.0,3.1463414634146343,5.0
211,"Browning Version, The ",Drama,1994,34.0,2.0,3.5588235294117645,5.0
212,Bushwhacked ,Comedy,1995,14.0,1.0,1.9285714285714286,4.0
213,Burnt By the Sun (Utomlyonnye solntsem) ,Drama,1994,123.0,1.0,4.056910569105691,5.0
214,Before the Rain (Pred dozhdot) ,Drama,1994,28.0,2.0,4.25,5.0
215,Before Sunrise ,Drama|Romance,1995,160.0,1.0,3.80625,5.0
216,Billy Madison ,Comedy,1995,355.0,1.0,3.183098591549296,5.0
217,"Babysitter, The ",Drama|Thriller,1995,64.0,1.0,2.625,5.0
218,Boys on the Side ,Comedy|Drama,1995,195.0,1.0,3.128205128205128,5.0
219,"Cure, The ",Drama,1995,22.0,1.0,3.1818181818181817,5.0
220,Castle Freak ,Horror,1995,28.0,1.0,1.8214285714285714,4.0
222,Circle of Friends ,Drama|Romance,1995,329.0,1.0,3.547112462006079,5.0
223,Clerks ,Comedy,1994,1412.0,1.0,3.946883852691218,5.0
224,Don Juan DeMarco ,Comedy|Drama|Romance,1995,386.0,1.0,3.3911917098445596,5.0
225,Disclosure ,Drama|Thriller,1994,254.0,1.0,3.173228346456693,5.0
226,Dream Man ,Thriller,1995,1.0,2.0,2.0,2.0
227,Drop Zone ,Action,1994,129.0,1.0,2.6744186046511627,5.0
228,Destiny Turns on the Radio ,Comedy,1995,13.0,1.0,2.1538461538461537,4.0
229,Death and the Maiden ,Drama|Thriller,1994,108.0,1.0,3.5,5.0
230,Dolores Claiborne ,Drama|Thriller,1994,349.0,1.0,3.4527220630372493,5.0
231,Dumb & Dumber ,Comedy,1994,660.0,1.0,3.1924242424242424,5.0
232,Eat Drink Man Woman ,Comedy|Drama,1994,346.0,1.0,4.07514450867052,5.0
233,Exotica ,Drama,1994,235.0,1.0,3.6127659574468085,5.0
234,Exit to Eden ,Comedy,1994,147.0,1.0,2.2244897959183674,5.0
235,Ed Wood ,Comedy|Drama,1994,927.0,1.0,3.696871628910464,5.0
236,French Kiss ,Comedy|Romance,1995,326.0,1.0,3.303680981595092,5.0
237,Forget Paris ,Comedy|Romance,1995,257.0,1.0,2.972762645914397,5.0
238,Far From Home: The Adventures of Yellow Dog ,Adventure|Children's,1995,32.0,1.0,2.8125,5.0
239,"Goofy Movie, A ",Animation|Children's|Comedy|Romance,1995,168.0,1.0,2.875,5.0
240,Hideaway ,Thriller,1995,45.0,1.0,2.7111111111111112,5.0
241,Fluke ,Children's|Drama,1995,29.0,1.0,3.310344827586207,5.0
242,Farinelli: il castrato ,Drama|Musical,1994,80.0,1.0,3.5,5.0
243,Gordy ,Comedy,1995,10.0,1.0,2.1,3.0
244,Gumby: The Movie ,Animation|Children's,1995,10.0,1.0,1.9,3.0
245,"Glass Shield, The ",Crime|Drama,1994,11.0,2.0,3.0,5.0
246,Hoop Dreams ,Documentary,1994,716.0,1.0,4.18854748603352,5.0
247,Heavenly Creatures ,Drama|Fantasy|Romance|Thriller,1994,477.0,1.0,3.8658280922431865,5.0
248,Houseguest ,Comedy,1994,138.0,1.0,2.9130434782608696,5.0
249,Immortal Beloved ,Drama|Romance,1994,261.0,1.0,3.7586206896551726,5.0
250,Heavyweights ,Children's|Comedy,1994,30.0,1.0,2.6,5.0
251,"Hunted, The ",Action,1995,18.0,1.0,3.2777777777777777,5.0
252,I.Q. ,Comedy|Romance,1994,367.0,1.0,3.2697547683923704,5.0
253,Interview with the Vampire ,Drama|Horror,1994,738.0,1.0,3.524390243902439,5.0
254,Jefferson in Paris ,Drama,1995,38.0,1.0,3.0789473684210527,5.0
255,"Jerky Boys, The ",Comedy,1994,66.0,1.0,2.0606060606060606,5.0
256,Junior ,Comedy|Sci-Fi,1994,218.0,1.0,2.6513761467889907,5.0
257,Just Cause ,Mystery|Thriller,1995,114.0,1.0,3.2280701754385963,5.0
258,"Kid in King Arthur's Court, A ",Adventure|Children's|Comedy|Fantasy|Romance,1995,144.0,1.0,2.423611111111111,5.0
259,Kiss of Death ,Crime|Drama|Thriller,1995,102.0,1.0,2.843137254901961,5.0
260,Star Wars: Episode IV - A New Hope ,Action|Adventure|Fantasy|Sci-Fi,1977,2991.0,1.0,4.453694416583082,5.0
261,Little Women ,Drama,1994,285.0,1.0,3.6491228070175437,5.0
262,"Little Princess, A ",Children's|Drama,1995,172.0,1.0,3.872093023255814,5.0
263,Ladybird Ladybird ,Drama,1994,28.0,1.0,3.857142857142857,5.0
264,"Enfer, L' ",Drama,1994,5.0,1.0,3.2,4.0
265,Like Water for Chocolate (Como agua para chocolate) ,Drama|Romance,1992,772.0,1.0,3.9326424870466323,5.0
266,Legends of the Fall ,Drama|Romance|War|Western,1994,705.0,1.0,3.425531914893617,5.0
267,Major Payne ,Comedy,1994,140.0,1.0,2.7285714285714286,5.0
268,Little Odessa ,Drama,1994,54.0,1.0,3.3703703703703702,5.0
269,My Crazy Life (Mi vida loca) ,Drama,1993,55.0,1.0,3.5272727272727273,5.0
270,Love Affair ,Drama|Romance,1994,79.0,1.0,3.037974683544304,5.0
271,Losing Isaiah ,Drama,1995,63.0,1.0,3.142857142857143,5.0
272,"Madness of King George, The ",Drama,1994,383.0,1.0,3.7258485639686683,5.0
273,Mary Shelley's Frankenstein ,Drama|Horror,1994,244.0,1.0,2.8975409836065573,5.0
274,Man of the House ,Comedy,1995,24.0,1.0,2.375,4.0
275,Mixed Nuts ,Comedy,1994,80.0,1.0,2.5375,5.0
276,Milk Money ,Comedy|Romance,1994,228.0,1.0,2.692982456140351,5.0
277,Miracle on 34th Street ,Drama,1994,170.0,1.0,3.1823529411764704,5.0
278,Miami Rhapsody ,Comedy,1995,40.0,1.0,2.75,5.0
279,My Family ,Drama,1995,46.0,1.0,3.717391304347826,5.0
280,Murder in the First ,Drama|Thriller,1995,212.0,1.0,3.5707547169811322,5.0
281,Nobody's Fool ,Drama,1994,233.0,1.0,3.648068669527897,5.0
282,Nell ,Drama,1994,215.0,1.0,3.2232558139534886,5.0
283,New Jersey Drive ,Crime|Drama,1995,18.0,1.0,3.0,4.0
284,New York Cop ,Action|Crime,1996,0.0,,,
285,Beyond Bedlam ,Drama|Horror,1993,0.0,,,
286,Nemesis 2: Nebula ,Action|Sci-Fi|Thriller,1995,1.0,3.0,3.0,3.0
287,Nina Takes a Lover ,Comedy|Romance,1994,21.0,1.0,2.9047619047619047,5.0
288,Natural Born Killers ,Action|Thriller,1994,700.0,1.0,3.144285714285714,5.0
289,Only You ,Comedy|Romance,1994,158.0,1.0,3.3417721518987342,5.0
290,Once Were Warriors ,Crime|Drama,1994,168.0,1.0,3.9166666666666665,5.0
291,Poison Ivy II ,Thriller,1995,48.0,1.0,2.2083333333333335,5.0
292,Outbreak ,Action|Drama|Thriller,1995,733.0,1.0,3.2687585266030013,5.0
293,"Professional, The (a.k.a. Leon: The Professional) ",Crime|Drama|Romance|Thriller,1994,923.0,1.0,4.106175514626218,5.0
294,"Perez Family, The ",Comedy|Romance,1995,42.0,1.0,3.0952380952380953,5.0
295,"Pyromaniac's Love Story, A ",Comedy|Romance,1995,29.0,1.0,2.7586206896551726,4.0
296,Pulp Fiction ,Crime|Drama,1994,2171.0,1.0,4.278212805158913,5.0
297,Panther ,Drama,1995,28.0,1.0,3.107142857142857,5.0
298,Pushing Hands ,Comedy,1992,23.0,2.0,3.9130434782608696,5.0
299,Priest ,Drama,1994,143.0,1.0,3.664335664335664,5.0
300,Quiz Show ,Drama,1994,705.0,1.0,3.7588652482269502,5.0
301,Picture Bride ,Drama|Romance,1995,43.0,1.0,3.302325581395349,5.0
302,Queen Margot (La Reine Margot) ,Drama|Romance,1994,86.0,1.0,3.813953488372093,5.0
303,"Quick and the Dead, The ",Action|Adventure|Western,1995,418.0,1.0,2.9760765550239237,5.0
304,Roommates ,Comedy|Drama,1995,35.0,1.0,3.142857142857143,5.0
305,Ready to Wear (Pret-A-Porter) ,Comedy,1994,127.0,1.0,2.5039370078740157,5.0
306,Three Colors: Red ,Drama,1994,334.0,1.0,4.227544910179641,5.0
307,Three Colors: Blue ,Drama,1993,243.0,1.0,4.098765432098766,5.0
308,Three Colors: White ,Drama,1994,202.0,1.0,3.9653465346534653,5.0
309,"Red Firecracker, Green Firecracker ",Drama,1994,48.0,1.0,3.6875,5.0
310,Rent-a-Kid ,Comedy,1995,6.0,1.0,2.6666666666666665,4.0
311,Relative Fear ,Horror|Thriller,1994,1.0,3.0,3.0,3.0
312,Stuart Saves His Family ,Comedy,1995,112.0,1.0,2.4375,5.0
313,"Swan Princess, The ",Animation|Children's,1994,54.0,1.0,2.888888888888889,5.0
314,"Secret of Roan Inish, The ",Drama,1994,300.0,1.0,3.85,5.0
315,"Specialist, The ",Action,1994,153.0,1.0,2.65359477124183,5.0
316,Stargate ,Action|Adventure|Sci-Fi,1994,1116.0,1.0,3.490143369175627,5.0
317,"Santa Clause, The ",Children's|Comedy|Fantasy,1994,641.0,1.0,3.1918876755070205,5.0
318,"Shawshank Redemption, The ",Drama,1994,2227.0,1.0,4.554557700942973,5.0
319,Shallow Grave ,Thriller,1994,273.0,1.0,3.8937728937728937,5.0
320,Suture ,Film-Noir|Thriller,1993,32.0,1.0,3.40625,5.0
321,Strawberry and Chocolate (Fresa y chocolate) ,Drama,1993,61.0,1.0,3.7540983606557377,5.0
322,Swimming with Sharks ,Comedy|Drama,1995,209.0,1.0,3.712918660287081,5.0
324,"Sum of Us, The ",Comedy,1994,33.0,2.0,3.9696969696969697,5.0
325,National Lampoon's Senior Trip ,Comedy,1995,49.0,1.0,2.4489795918367347,5.0
326,To Live  ,Drama,1994,61.0,1.0,4.344262295081967,5.0
327,Tank Girl ,Action|Comedy|Musical|Sci-Fi,1995,358.0,1.0,2.6145251396648046,5.0
328,Tales From the Crypt Presents: Demon Knight ,Horror,1995,144.0,1.0,3.111111111111111,5.0
329,Star Trek: Generations ,Action|Adventure|Sci-Fi,1994,990.0,1.0,3.3767676767676766,5.0
330,Tales from the Hood ,Comedy|Horror,1995,149.0,1.0,2.7315436241610738,5.0
331,Tom & Viv ,Drama,1994,21.0,2.0,3.0952380952380953,5.0
