ID,Gender,Age,Occupation,Zip,reviews,min_rating,avr_rating,max_rating
41,F,18-24,college/grad student,15116,25,1,3.48,5
42,M,25-34,farmer,24502,231,1,3.74025974025974,5
43,M,25-34,programmer,60614,24,1,4.125,5
44,M,45-49,technician/engineer,98052,193,1,3.6321243523316062,5
45,F,45-49,self-employed,94110,297,1,2.946127946127946,5
46,M,18-24,unemployed,75602,41,1,4.219512195121951,5
47,M,18-24,college/grad student,94305,22,2,3.909090909090909,5
48,M,25-34,college/grad student,92107,598,1,3.068561872909699,5
49,M,18-24,programmer,77084,108,1,3.712962962962963,5
50,F,25-34,artist,98133,43,1,3.0697674418604652,5
51,F,Under 18,K-12 student,10562,40,1,3.825,5
52,M,18-24,college/grad student,72212,79,1,3.5569620253164556,5
53,M,25-34,other,96931,684,1,4.2368421052631575,5
54,M,50-55,academic/educator,56723,40,2,4.025,5
55,F,35-44,programmer,55303,25,3,4.12,5
56,M,35-44,writer,60440,67,1,3.970149253731343,5
57,M,18-24,unemployed,30350,64,1,2.90625,5
58,M,25-34,artist,30303,437,1,3.9725400457665905,5
59,F,50-55,academic/educator,55413,213,1,3.4741784037558685,5
60,M,50-55,academic/educator,72118,70,1,3.414285714285714,5
61,M,25-34,technician/engineer,95122,36,1,2.7777777777777777,4
62,F,35-44,clerical/admin,98105,498,1,3.566265060240964,5
63,M,18-24,college/grad student,54902,98,1,3.4285714285714284,5
64,M,18-24,academic/educator,53706,27,2,4.148148148148148,5
65,M,35-44,programmer,55803,121,1,4.347107438016529,5
66,M,25-34,tradesman/craftsman,57706,26,1,3.8461538461538463,5
67,F,50-55,customer service,60181,64,2,4.296875,5
68,M,18-24,college/grad student,53706,72,1,3.75,5
69,F,25-34,academic/educator,02143,65,1,4.153846153846154,5
70,M,18-24,college/grad student,53703,54,1,3.7037037037037037,5
71,M,25-34,sales/marketing,95008,29,2,3.7586206896551726,5
72,F,45-49,other,55122,43,1,3.697674418604651,5
73,M,18-24,college/grad student,53706,255,1,3.364705882352941,5
74,M,35-44,sales/marketing,94530,43,1,4.046511627906977,5
75,F,Under 18,K-12 student,01748,175,1,4.005714285714285,5
76,M,35-44,executive/managerial,55413,87,2,4.172413793103448,5
77,M,18-24,college/grad student,15321,39,1,2.948717948717949,5
78,F,45-49,academic/educator,98029,140,1,3.657142857142857,5
79,F,45-49,other,98103,31,1,3.6451612903225805,5
80,M,56+,academic/educator,49327,48,2,3.8958333333333335,5
81,F,25-34,other,60640,86,1,4.4186046511627906,5
82,M,25-34,technician/engineer,48380,118,2,4.016949152542373,5
83,F,25-34,artist,94609,99,1,3.5757575757575757,5
84,M,18-24,college/grad student,53140,31,1,3.838709677419355,5
85,M,18-24,college/grad student,94945,39,1,3.1025641025641026,5
86,F,Under 18,K-12 student,54467,48,1,4.3125,5
87,M,25-34,sales/marketing,48360,59,1,2.8135593220338984,5
88,F,45-49,academic/educator,02476,68,1,4.147058823529412,5
89,F,56+,homemaker,85749,21,1,3.238095238095238,5
90,M,56+,retired,85749,225,1,3.511111111111111,5
91,M,35-44,executive/managerial,07650,44,3,4.704545454545454,5
92,F,18-24,college/grad student,44243,430,1,2.7581395348837208,5
93,M,25-34,technician/engineer,95825,220,1,2.9727272727272727,5
94,M,25-34,technician/engineer,28601,21,2,3.857142857142857,5
95,M,45-49,other,98201,99,1,3.595959595959596,5
96,F,25-34,self-employed,78028,81,1,3.6049382716049383,5
97,F,35-44,clerical/admin,66210,154,2,4.474025974025974,5
98,F,35-44,executive/managerial,33547,20,1,3.8,5
99,F,Under 18,K-12 student,19390,107,1,3.2149532710280373,5
100,M,35-44,technician/engineer,95401,76,1,3.026315789473684,5
101,F,18-24,clerical/admin,33314,106,3,4.679245283018868,5
102,M,35-44,unemployed,20871,132,1,3.128787878787879,5
103,M,45-49,executive/managerial,92104,115,1,4.052173913043478,5
104,M,25-34,programmer,00926,46,1,3.347826086956522,5
105,M,45-49,programmer,90277,61,1,4.295081967213115,5
106,F,35-44,lawyer,79101,47,2,4.0212765957446805,5
107,M,45-49,tradesman/craftsman,63129,121,2,3.743801652892562,5
108,M,25-34,programmer,30316,37,1,3.135135135135135,5
109,M,45-49,scientist,92028,81,1,4.0,5
110,M,25-34,artist,90803,80,1,3.25,5
111,M,35-44,scientist,55416,92,2,3.7282608695652173,5
112,M,25-34,self-employed,97209,60,1,4.183333333333334,5
113,M,18-24,programmer,37032,68,1,3.5,5
114,F,25-34,artist,83712,98,1,3.693877551020408,5
115,M,25-34,technician/engineer,28083,38,2,3.8421052631578947,5
116,M,25-34,technician/engineer,55744,86,1,3.802325581395349,5
117,M,25-34,technician/engineer,33314,505,1,3.299009900990099,5
118,M,35-44,technician/engineer,22315,224,1,3.767857142857143,5
119,F,Under 18,K-12 student,77515,105,1,3.5428571428571427,5
120,M,25-34,lawyer,27106,63,1,3.619047619047619,5
121,M,35-44,executive/managerial,75229,72,1,4.416666666666667,5
122,F,18-24,college/grad student,94305,57,1,2.9649122807017543,5
123,M,35-44,homemaker,67208,608,1,3.401315789473684,5
124,M,56+,executive/managerial,91356,23,3,4.173913043478261,5
125,M,45-49,sales/marketing,01701,71,2,4.098591549295775,5
126,M,18-24,homemaker,98117,51,1,4.0,5
127,F,45-49,clerical/admin,01770,174,2,3.8448275862068964,5
128,M,56+,doctor/health care,37922,22,2,4.363636363636363,5
129,M,25-34,lawyer,20164,158,1,4.025316455696203,5
130,M,35-44,technician/engineer,50021,135,1,4.311111111111111,5
131,M,18-24,college/grad student,06520,295,1,3.3966101694915256,5
132,M,25-34,technician/engineer,99709,89,1,3.966292134831461,5
133,F,25-34,other,55071,170,1,3.7705882352941176,5
134,M,25-34,other,66212,183,1,2.7158469945355193,5
135,M,18-24,college/grad student,20006,70,1,3.657142857142857,5
136,M,18-24,artist,21202,378,1,3.074074074074074,5
137,F,45-49,doctor/health care,78758,201,1,3.611940298507463,5
138,M,18-24,writer,22203,65,2,4.492307692307692,5
139,F,25-34,writer,45409,245,1,3.8816326530612244,5
140,F,35-44,academic/educator,55107,55,1,3.8181818181818183,5
141,M,35-44,retired,62035,23,1,3.6956521739130435,5
142,M,25-34,executive/managerial,10011,47,1,3.3404255319148937,5
143,M,18-24,clerical/admin,64043,68,1,3.5441176470588234,5
144,M,25-34,technician/engineer,29401,32,1,3.46875,5
145,M,18-24,college/grad student,19081,39,1,3.0,5
146,F,35-44,writer,10954,426,1,3.7699530516431925,5
147,M,18-24,college/grad student,91360,187,1,3.5026737967914436,5
148,M,50-55,technician/engineer,57747,624,1,3.733974358974359,5
149,M,25-34,academic/educator,29205,592,1,3.9408783783783785,5
150,M,35-44,executive/managerial,98144,232,2,4.021551724137931,5
151,F,25-34,writer,85013,471,1,3.653927813163482,5
152,M,18-24,college/grad student,48104,24,1,4.125,5
153,M,Under 18,K-12 student,51537,26,1,4.076923076923077,5
154,M,50-55,writer,94530,44,1,3.090909090909091,5
155,M,35-44,programmer,07470,96,1,2.96875,5
156,F,45-49,executive/managerial,14519,148,1,4.236486486486487,5
157,M,35-44,self-employed,12866,427,2,3.718969555035129,5
158,M,56+,executive/managerial,28754,22,2,4.0,5
159,F,45-49,other,37922,36,2,3.7777777777777777,5
160,M,35-44,executive/managerial,13021,20,2,3.5,5
161,M,45-49,self-employed,98107-2117,297,1,4.4713804713804715,5
162,F,18-24,college/grad student,93117,107,1,4.121495327102804,5
163,M,18-24,college/grad student,85013,514,1,2.1828793774319064,5
164,F,56+,retired,94566,26,3,4.384615384615385,5
165,M,18-24,self-employed,98502,110,1,3.981818181818182,5
166,M,18-24,college/grad student,92802,410,1,3.6878048780487807,5
167,F,25-34,lawyer,10022,58,1,2.9310344827586206,5
168,F,50-55,other,46970,26,1,3.8461538461538463,5
169,M,25-34,executive/managerial,55439,552,1,3.5670289855072466,5
170,M,25-34,lawyer,07002,87,1,3.9885057471264367,5
171,F,50-55,technician/engineer,55441,24,3,4.0,5
172,M,25-34,clerical/admin,07661,23,2,3.608695652173913,5
173,M,25-34,other,45237,561,1,3.9679144385026737,5
174,M,25-34,self-employed,21203,97,1,3.649484536082474,5
175,F,25-34,artist,95123,317,1,3.9810725552050474,5
176,F,18-24,clerical/admin,55016,78,1,3.6153846153846154,5
177,M,50-55,academic/educator,54016,44,2,4.113636363636363,5
178,M,56+,technician/engineer,53705,115,1,3.8434782608695652,5
179,M,25-34,other,02135,110,1,2.6545454545454548,5
180,M,45-49,programmer,01603,59,2,3.694915254237288,5
181,M,18-24,technician/engineer,33186,301,1,3.604651162790698,5
182,M,18-24,college/grad student,03052,83,1,3.8313253012048194,5
183,F,45-49,academic/educator,55407,101,1,4.099009900990099,5
184,F,25-34,other,19001,84,1,4.083333333333333,5
185,M,45-49,other,14468,51,2,3.588235294117647,5
186,M,18-24,customer service,91767,122,2,4.254098360655738,5
187,F,45-49,academic/educator,94061,417,1,4.083932853717027,5
188,M,56+,self-employed,79930,71,1,3.1690140845070425,5
189,M,18-24,other,60076,31,1,4.0,5
190,M,25-34,technician/engineer,55125,153,1,3.6993464052287583,5
191,M,18-24,college/grad student,04915,30,1,3.3333333333333335,5
192,M,18-24,academic/educator,10977,525,1,3.0914285714285716,5
193,F,45-49,scientist,44106,242,1,3.677685950413223,5
194,F,Under 18,K-12 student,29146,59,1,3.983050847457627,5
195,M,25-34,programmer,10458,822,1,3.889294403892944,5
196,F,35-44,homemaker,94587,32,3,4.0625,5
197,M,18-24,sales/marketing,10023,22,2,3.909090909090909,5
198,M,25-34,programmer,55108,379,1,3.7493403693931397,5
199,M,18-24,college/grad student,83706,402,1,3.2761194029850746,5
200,F,18-24,college/grad student,84321,26,1,3.423076923076923,5
201,F,35-44,artist,55117,87,1,3.954022988505747,5
202,M,18-24,college/grad student,53706,670,1,3.2492537313432837,5
203,F,18-24,college/grad student,53715,127,1,2.2913385826771653,5
204,M,25-34,executive/managerial,92123,446,1,3.5560538116591927,5
205,M,35-44,programmer,97333,153,1,4.0588235294117645,5
206,M,25-34,technician/engineer,20194,30,1,3.066666666666667,5
207,M,25-34,programmer,94115,23,1,3.5217391304347827,5
208,M,35-44,technician/engineer,55432,184,1,3.652173913043478,5
209,M,35-44,academic/educator,90048,25,2,3.16,5
210,F,Under 18,K-12 student,25801,110,1,4.027272727272727,5
211,M,45-49,technician/engineer,90620,35,1,3.857142857142857,5
212,M,25-34,self-employed,53714,110,2,3.8545454545454545,5
213,F,18-24,college/grad student,01609,22,3,4.2272727272727275,5
214,M,18-24,writer,80218,166,1,3.1626506024096384,5
215,M,35-44,sales/marketing,92075,34,2,4.5588235294117645,5
216,M,45-49,retired,52761,794,1,3.2317380352644838,5
217,M,18-24,college/grad student,22903,20,1,3.7,5
218,M,35-44,sales/marketing,95822,86,1,3.0930232558139537,5
219,F,25-34,college/grad student,55113,36,1,3.3333333333333335,5
220,M,25-34,programmer,22903,102,1,4.215686274509804,5
221,F,25-34,other,94063,29,1,3.2413793103448274,5
222,M,25-34,academic/educator,55116,80,2,4.0875,5
223,M,25-34,technician/engineer,28262,256,1,3.44140625,5
224,F,18-24,college/grad student,14850,204,1,3.4019607843137254,5
225,M,25-34,executive/managerial,11215,508,1,3.4330708661417324,5
226,M,35-44,academic/educator,94518,21,2,3.5714285714285716,5
227,M,35-44,writer,90291,28,1,3.2857142857142856,5
228,M,25-34,scientist,55455,31,1,4.0,5
229,M,18-24,K-12 student,04576,212,1,3.4292452830188678,5
230,M,45-49,academic/educator,43210,179,1,4.094972067039106,5
231,M,25-34,clerical/admin,55455,97,1,4.22680412371134,5
232,M,25-34,writer,55408,90,1,3.566666666666667,5
233,F,45-49,writer,37919-4204,53,2,4.584905660377358,5
234,M,35-44,executive/managerial,39652,29,1,4.310344827586207,5
235,M,25-34,other,98153,440,1,4.086363636363636,5
236,M,25-34,customer service,55126,62,1,3.693548387096774,5
237,M,25-34,doctor/health care,46835,166,1,3.4036144578313254,5
238,F,50-55,executive/managerial,90291,258,2,3.7868217054263567,5
239,M,18-24,unemployed,94618,71,1,4.140845070422535,5
240,M,50-55,technician/engineer,55113,143,1,3.300699300699301,5
241,M,35-44,writer,55121,57,1,3.9649122807017543,5
242,F,18-24,college/grad student,53706,273,1,3.2051282051282053,5
243,M,25-34,self-employed,11576,33,1,3.606060606060606,5
244,M,50-55,executive/managerial,19072,85,1,4.105882352941176,5
245,M,35-44,self-employed,66046,764,1,2.6714659685863875,5
246,F,18-24,college/grad student,60625,29,2,4.0,5
247,M,25-34,technician/engineer,94404,31,2,3.935483870967742,5
248,M,18-24,technician/engineer,72703,34,3,4.205882352941177,5
249,F,18-24,sales/marketing,48126,110,1,3.9454545454545453,5
250,M,35-44,self-employed,11229,20,2,3.75,5
251,M,56+,technician/engineer,55105,73,2,3.5753424657534247,5
252,M,25-34,programmer,94112,60,2,4.016666666666667,5
253,F,25-34,lawyer,97370,53,1,3.9245283018867925,5
254,M,35-44,technician/engineer,49015,23,2,3.782608695652174,5
255,M,35-44,other,85310,244,2,4.016393442622951,5
256,M,45-49,self-employed,55076,95,1,3.8526315789473684,5
257,M,18-24,tradesman/craftsman,55113,53,1,4.452830188679245,5
258,M,25-34,executive/managerial,55436,145,1,3.717241379310345,5
259,M,25-34,academic/educator,60615,139,1,4.0359712230215825,5
260,M,18-24,unemployed,98126,154,1,3.311688311688312,5
261,M,25-34,writer,75801,354,1,3.5762711864406778,5
262,F,25-34,academic/educator,68503,106,1,3.330188679245283,5
263,F,25-34,executive/managerial,22304,92,1,3.6630434782608696,5
264,M,35-44,other,20755,480,1,2.785416666666667,5
265,F,35-44,executive/managerial,55116,98,1,4.1938775510204085,5
266,M,35-44,lawyer,75229,50,3,4.52,5
267,M,45-49,programmer,55001,131,1,3.3893129770992365,5
268,F,18-24,programmer,29708,261,1,3.3946360153256707,5
269,M,25-34,artist,55408,30,1,3.8,5
270,M,50-55,sales/marketing,55414,126,1,4.198412698412699,5
271,M,18-24,college/grad student,48202,312,1,3.9583333333333335,5
272,M,18-24,other,80302,482,1,3.6535269709543567,5
273,M,18-24,college/grad student,55427,187,1,3.727272727272727,5
274,M,18-24,college/grad student,55455,148,1,4.243243243243243,5
275,M,25-34,other,48162,89,1,4.247191011235955,5
276,M,45-49,self-employed,01982,23,2,3.5217391304347827,5
277,F,35-44,academic/educator,98126,22,2,3.727272727272727,5
278,M,45-49,tradesman/craftsman,60482,198,1,3.9646464646464645,5
279,M,25-34,sales/marketing,91214,47,1,2.872340425531915,5
280,M,50-55,executive/managerial,19118,50,1,3.94,5
281,F,35-44,other,94117,111,1,3.891891891891892,5
282,M,25-34,technician/engineer,94401,29,2,3.5172413793103448,5
283,M,25-34,other,10003,27,4,4.962962962962963,5
284,M,25-34,programmer,91910,471,1,3.021231422505308,5
285,F,35-44,other,94109,139,1,4.16546762589928,5
286,M,25-34,academic/educator,54601,43,2,3.883720930232558,5
287,M,50-55,retired,94706,103,2,3.70873786407767,5
288,F,25-34,programmer,97119,56,3,4.589285714285714,5
289,F,25-34,other,11801,74,1,3.9054054054054053,5
290,F,25-34,writer,94591,33,1,3.303030303030303,5
291,M,35-44,programmer,55110,102,1,4.137254901960785,5
292,M,35-44,executive/managerial,19406,41,2,3.7560975609756095,5
293,M,56+,academic/educator,55337-4056,317,1,3.2460567823343847,5
294,F,45-49,homemaker,43147,49,1,3.489795918367347,5
295,M,18-24,other,80203,191,1,3.764397905759162,5
296,M,50-55,customer service,89432,97,1,3.597938144329897,5
297,M,18-24,artist,97211,89,2,4.0,5
298,F,18-24,college/grad student,19010,27,2,3.925925925925926,5
299,M,25-34,programmer,97370,104,1,4.163461538461538,5
300,M,25-34,executive/managerial,78664,249,1,4.180722891566265,5
301,M,18-24,college/grad student,61820,357,1,3.8011204481792715,5
302,M,18-24,college/grad student,04901,788,1,2.8692893401015227,5
303,M,25-34,executive/managerial,20006,209,1,3.861244019138756,5
304,M,25-34,other,55414,27,1,3.5555555555555554,5
305,F,18-24,other,55414,157,1,2.5605095541401273,5
306,M,18-24,other,53051,193,2,3.937823834196891,5
307,M,50-55,self-employed,90027,182,1,4.593406593406593,5
308,M,25-34,artist,10025,557,1,3.385996409335727,5
309,M,25-34,college/grad student,16801,123,2,4.040650406504065,5
310,F,18-24,college/grad student,31207,223,1,3.4260089686098656,5
311,M,18-24,college/grad student,31201,20,1,4.15,5
312,F,50-55,artist,22207,57,3,3.736842105263158,5
313,F,18-24,college/grad student,02138,26,2,4.038461538461538,5
314,F,56+,homemaker,46911,293,1,3.696245733788396,5
315,F,56+,academic/educator,55105,22,1,3.8636363636363638,5
316,M,56+,retired,90740,77,2,4.116883116883117,5
317,M,35-44,executive/managerial,38555,21,2,3.8095238095238093,5
318,F,56+,retired,55104,21,2,3.9523809523809526,5
319,F,50-55,doctor/health care,33436,721,1,3.263522884882108,5
320,M,35-44,doctor/health care,99516,21,2,4.238095238095238,5
321,M,18-24,college/grad student,55128,222,1,3.2612612612612613,5
322,M,56+,technician/engineer,55117,40,2,4.45,5
323,M,45-49,programmer,53716,118,1,3.788135593220339,5
324,M,35-44,technician/engineer,55106,76,1,3.3289473684210527,5
325,F,50-55,clerical/admin,55112,43,1,4.046511627906977,5
326,M,50-55,lawyer,25302,379,1,3.3350923482849604,5
327,M,35-44,tradesman/craftsman,55448,236,1,3.669491525423729,5
328,M,35-44,programmer,80401,62,1,3.032258064516129,5
329,M,35-44,executive/managerial,02115,764,1,2.7264397905759163,5
330,M,56+,executive/managerial,92065,76,2,4.0131578947368425,5
331,M,25-34,executive/managerial,55902,584,1,3.7654109589041096,5
332,M,50-55,academic/educator,55109,67,1,4.2835820895522385,5
333,M,35-44,artist,55410,227,1,3.352422907488987,5
334,F,56+,artist,55113,61,2,3.9508196721311477,5
335,M,35-44,tradesman/craftsman,55434,148,1,2.5,5
336,M,18-24,other,98765,107,1,4.308411214953271,5
337,M,18-24,unemployed,80205,198,1,3.525252525252525,5
338,M,35-44,executive/managerial,55116,362,1,3.665745856353591,5
339,M,50-55,executive/managerial,80207,124,1,4.024193548387097,5
340,F,25-34,clerical/admin,28001,108,1,3.5277777777777777,5
341,F,56+,retired,92119,20,2,4.2,5
342,M,18-24,programmer,55076,123,1,3.6910569105691056,5
343,F,35-44,clerical/admin,55127,297,1,4.047138047138047,5
344,M,35-44,sales/marketing,75034,90,1,2.9555555555555557,5
345,M,25-34,programmer,94114,25,2,4.4,5
346,F,25-34,other,55110,283,1,4.307420494699647,5
347,F,56+,academic/educator,55305,99,1,3.878787878787879,5
348,M,50-55,executive/managerial,55110,100,1,3.78,5
349,M,Under 18,K-12 student,08035,268,1,3.25,5
350,M,45-49,writer,08035,64,1,3.9375,5
351,M,18-24,college/grad student,55105,103,1,3.7572815533980584,5
352,M,18-24,college/grad student,60115,870,1,3.4793103448275864,5
353,F,35-44,executive/managerial,92625,24,1,3.9166666666666665,5
354,M,35-44,academic/educator,55117,58,1,3.586206896551724,5
355,M,18-24,clerical/admin,55107,419,1,3.4463007159904535,5
356,M,56+,writer,55101,21,3,4.380952380952381,5
357,M,18-24,other,98103,58,1,3.293103448275862,5
358,F,56+,academic/educator,20815,72,2,3.8472222222222223,5
359,M,25-34,technician/engineer,55128,49,1,3.857142857142857,5
360,M,35-44,technician/engineer,28208,67,2,3.6417910447761193,5
361,F,25-34,sales/marketing,94115,26,1,3.5384615384615383,5
362,M,35-44,writer,55407,55,1,3.290909090909091,5
363,M,18-24,K-12 student,55419,43,1,3.744186046511628,5
364,F,35-44,academic/educator,46815,28,1,3.142857142857143,5
365,F,18-24,college/grad student,02138,47,1,3.3404255319148937,5
366,M,50-55,scientist,55126,259,1,4.06949806949807,5
367,M,50-55,programmer,55421,28,3,4.25,5
368,M,25-34,other,90293,320,1,3.78125,5
369,M,35-44,academic/educator,55110,87,1,3.1954022988505746,5
370,M,18-24,technician/engineer,22304,60,1,3.75,5
371,M,18-24,college/grad student,02141,78,1,3.5,5
372,F,18-24,college/grad student,72227,168,1,4.553571428571429,5
373,F,25-34,artist,55347,27,2,3.5555555555555554,5
374,F,35-44,sales/marketing,55346,52,3,4.403846153846154,5
375,M,25-34,artist,55106,51,1,4.078431372549019,5
376,M,35-44,academic/educator,80026,117,1,4.111111111111111,5
377,M,25-34,technician/engineer,55418,136,2,3.9044117647058822,5
378,F,18-24,other,55105,39,1,3.5128205128205128,5
379,F,35-44,academic/educator,54822,64,1,4.234375,5
380,M,25-34,artist,92024,138,1,3.7246376811594204,5
381,M,35-44,technician/engineer,89015,35,1,4.114285714285714,5
382,F,35-44,writer,66205,56,1,4.017857142857143,5
383,F,25-34,executive/managerial,78757,21,1,3.5714285714285716,5
384,M,25-34,lawyer,55075,22,2,3.590909090909091,5
385,M,25-34,doctor/health care,68131,137,1,3.9562043795620436,5
386,M,25-34,other,55408,260,1,3.3230769230769233,5
387,F,35-44,executive/managerial,55111,68,1,3.676470588235294,5
388,F,25-34,other,10021,59,1,3.8813559322033897,5
389,M,25-34,doctor/health care,68128,73,1,3.5616438356164384,5
390,M,25-34,college/grad student,55405,214,1,3.6728971962616823,5
391,M,45-49,lawyer,22122,81,1,3.728395061728395,5
392,M,18-24,executive/managerial,20037,487,1,3.4743326488706368,5
393,M,35-44,technician/engineer,55402,74,1,3.581081081081081,5
394,M,18-24,other,55013,38,2,3.3421052631578947,5
395,M,18-24,customer service,55104,23,1,3.608695652173913,5
396,M,25-34,academic/educator,56187,173,1,3.560693641618497,5
397,M,35-44,technician/engineer,22124,34,2,3.8823529411764706,5
398,M,25-34,technician/engineer,55454,225,1,3.8133333333333335,5
399,F,35-44,doctor/health care,55128,32,1,4.15625,5
400,F,18-24,clerical/admin,55422,40,1,3.875,5
401,M,18-24,other,55129,78,2,3.871794871794872,5
402,M,25-34,lawyer,55427,284,1,3.591549295774648,5
403,M,18-24,college/grad student,02138,280,1,3.8035714285714284,5
404,M,18-24,college/grad student,10128,50,2,4.14,5
405,M,56+,academic/educator,13077,49,2,3.795918367346939,5
406,M,25-34,writer,55105,147,1,3.306122448979592,5
407,M,18-24,technician/engineer,89503,32,1,3.4375,5
408,M,25-34,lawyer,02143,156,1,4.352564102564102,5
409,M,18-24,programmer,55122,297,1,3.9158249158249157,5
410,F,25-34,academic/educator,55417,96,2,3.96875,5
411,F,45-49,academic/educator,43214,635,1,3.280314960629921,5
412,M,35-44,scientist,55117,476,1,4.401260504201681,5
413,M,25-34,lawyer,55409,99,1,4.404040404040404,5
414,M,25-34,other,55317,57,1,3.0701754385964914,5
415,F,35-44,other,55406,271,1,3.874538745387454,5
416,M,45-49,sales/marketing,55076,62,1,3.7580645161290325,5
417,F,25-34,other,50613,22,3,4.045454545454546,5
418,F,25-34,clerical/admin,54016,51,1,3.549019607843137,5
419,M,18-24,clerical/admin,55422,108,1,3.962962962962963,5
420,M,35-44,academic/educator,55406,64,3,4.359375,5
421,F,45-49,clerical/admin,55125,20,1,4.25,5
422,M,56+,technician/engineer,55104,47,1,3.297872340425532,5
423,M,18-24,college/grad student,55455,64,1,2.5,5
424,M,25-34,technician/engineer,55112,1226,1,3.735725938009788,5
425,M,25-34,programmer,55303,189,1,3.6613756613756614,5
426,M,18-24,college/grad student,55455,239,1,3.7573221757322175,5
427,M,35-44,programmer,55104,27,3,4.111111111111111,5
428,F,18-24,college/grad student,55455,50,1,3.9,5
429,M,18-24,other,54901,346,1,3.346820809248555,5
430,F,18-24,K-12 student,55306,63,1,3.9682539682539684,5
431,M,18-24,K-12 student,55303,84,1,3.630952380952381,5
432,M,45-49,self-employed,55306,73,1,2.9863013698630136,5
433,M,50-55,doctor/health care,55115,46,1,3.391304347826087,5
434,F,45-49,clerical/admin,98155,43,2,4.023255813953488,5
435,M,25-34,executive/managerial,55125,132,1,3.8333333333333335,5
436,M,18-24,college/grad student,43023,133,1,3.8345864661654137,5
437,M,35-44,technician/engineer,55030,52,3,4.3076923076923075,5
438,M,18-24,lawyer,53705,602,1,3.528239202657807,5
439,M,35-44,sales/marketing,55129,92,1,3.902173913043478,5
440,M,56+,academic/educator,32940,29,1,3.586206896551724,5
441,M,35-44,academic/educator,55127,47,2,3.9574468085106385,5
442,M,25-34,academic/educator,55105,423,1,3.8486997635933804,5
443,M,25-34,clerical/admin,55421,34,1,3.823529411764706,5
444,M,56+,other,55108,120,2,4.0,5
445,M,45-49,programmer,55117,286,1,3.3181818181818183,5
446,F,50-55,other,55042,51,3,4.8431372549019605,5
447,F,45-49,lawyer,55105,37,4,4.837837837837838,5
448,M,25-34,technician/engineer,80123,23,1,3.4347826086956523,5
449,M,25-34,executive/managerial,85037,54,1,3.7222222222222223,5
450,M,45-49,academic/educator,24523,51,2,4.196078431372549,5
451,M,56+,retired,54720,209,3,4.511961722488039,5
452,M,50-55,technician/engineer,55117,132,2,4.431818181818182,5
453,M,18-24,college/grad student,55102,394,1,3.66497461928934,5
454,M,25-34,writer,55092,266,1,3.218045112781955,5
455,F,35-44,artist,55113,25,2,4.2,5
456,M,35-44,other,55105,157,1,3.394904458598726,5
457,M,18-24,college/grad student,54703,237,1,3.7130801687763713,5
458,M,50-55,self-employed,55405-2546,43,1,3.5348837209302326,5
459,F,18-24,college/grad student,55105,32,2,3.6875,5
460,M,45-49,tradesman/craftsman,55313,47,1,3.3617021276595747,5
461,M,50-55,executive/managerial,55075,512,1,3.224609375,5
