,age,alone,class=First,class=Second,class=Third,embarked=C,embarked=Q,embarked=S,fare,is_male,parch,pclass,sibsp,survived,who=child,who=man,who=woman
26,33,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
27,19,0,1,0,0,0,0,1,263,1,2,1,3,0,0,1,0
28,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
29,33,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
30,40,1,1,0,0,1,0,0,27,1,0,1,0,0,0,1,0
31,32,0,1,0,0,1,0,0,146,0,0,1,1,1,0,0,1
32,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
33,66,1,0,1,0,0,0,1,10,1,0,2,0,0,0,1,0
34,28,0,1,0,0,1,0,0,82,1,0,1,1,0,0,1,0
35,42,0,1,0,0,0,0,1,52,1,0,1,1,0,0,1,0
36,33,1,0,0,1,1,0,0,7,1,0,3,0,1,0,1,0
37,21,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
38,18,0,0,0,1,0,0,1,18,0,0,3,2,0,0,0,1
39,14,0,0,0,1,1,0,0,11,0,0,3,1,1,1,0,0
40,40,0,0,0,1,0,0,1,9,0,0,3,1,0,0,0,1
41,27,0,0,1,0,0,0,1,21,0,0,2,1,0,0,0,1
42,33,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
43,3,0,0,1,0,1,0,0,41,0,2,2,1,1,1,0,0
44,19,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
45,33,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
46,33,0,0,0,1,0,1,0,15,1,0,3,1,0,0,1,0
47,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
48,33,0,0,0,1,1,0,0,21,1,0,3,2,0,0,1,0
49,18,0,0,0,1,0,0,1,17,0,0,3,1,0,0,0,1
50,7,0,0,0,1,0,0,1,39,1,1,3,4,0,1,0,0
51,21,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
52,49,0,1,0,0,1,0,0,76,0,0,1,1,1,0,0,1
53,29,0,0,1,0,0,0,1,26,0,0,2,1,1,0,0,1
54,65,0,1,0,0,1,0,0,61,1,1,1,0,0,0,1,0
55,33,1,1,0,0,0,0,1,35,1,0,1,0,1,0,1,0
56,21,1,0,1,0,0,0,1,10,0,0,2,0,1,0,0,1
57,28,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
58,5,0,0,1,0,0,0,1,27,0,2,2,1,1,1,0,0
59,11,0,0,0,1,0,0,1,46,1,2,3,5,0,1,0,0
60,22,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
61,38,1,1,0,0,0,0,1,80,0,0,1,0,1,0,0,1
62,45,0,1,0,0,0,0,1,83,1,0,1,1,0,0,1,0
63,4,0,0,0,1,0,0,1,27,1,2,3,3,0,1,0,0
64,33,1,1,0,0,1,0,0,27,1,0,1,0,0,0,1,0
65,33,0,0,0,1,1,0,0,15,1,1,3,1,1,0,1,0
66,29,1,0,1,0,0,0,1,10,0,0,2,0,1,0,0,1
67,19,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
68,17,0,0,0,1,0,0,1,7,0,2,3,4,1,0,0,1
69,26,0,0,0,1,0,0,1,8,1,0,3,2,0,0,1,0
70,32,1,0,1,0,0,0,1,10,1,0,2,0,0,0,1,0
71,16,0,0,0,1,0,0,1,46,0,2,3,5,0,0,0,1
72,21,1,0,1,0,0,0,1,73,1,0,2,0,0,0,1,0
73,26,0,0,0,1,1,0,0,14,1,0,3,1,0,0,1,0
74,32,1,0,0,1,0,0,1,56,1,0,3,0,1,0,1,0
75,25,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
76,33,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
77,33,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
78,0,0,0,1,0,0,0,1,29,1,2,2,0,1,1,0,0
79,30,1,0,0,1,0,0,1,12,0,0,3,0,1,0,0,1
80,22,1,0,0,1,0,0,1,9,1,0,3,0,0,0,1,0
81,29,1,0,0,1,0,0,1,9,1,0,3,0,1,0,1,0
82,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
83,28,1,1,0,0,0,0,1,47,1,0,1,0,0,0,1,0
84,17,1,0,1,0,0,0,1,10,0,0,2,0,1,0,0,1
85,33,0,0,0,1,0,0,1,15,0,0,3,3,1,0,0,1
86,16,0,0,0,1,0,0,1,34,1,3,3,1,0,0,1,0
87,33,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
88,23,0,1,0,0,0,0,1,263,0,2,1,3,1,0,0,1
89,24,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
90,29,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
91,20,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
92,46,0,1,0,0,0,0,1,61,1,0,1,1,0,0,1,0
93,26,0,0,0,1,0,0,1,20,1,2,3,1,0,0,1,0
94,59,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
95,33,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
96,71,1,1,0,0,1,0,0,34,1,0,1,0,0,0,1,0
97,23,0,1,0,0,1,0,0,63,1,1,1,0,1,0,1,0
98,34,0,0,1,0,0,0,1,23,0,1,2,0,1,0,0,1
99,34,0,0,1,0,0,0,1,26,1,0,2,1,0,0,1,0
100,28,1,0,0,1,0,0,1,7,0,0,3,0,0,0,0,1
101,33,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
102,21,0,1,0,0,0,0,1,77,1,1,1,0,0,0,1,0
103,33,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
104,37,0,0,0,1,0,0,1,7,1,0,3,2,0,0,1,0
105,28,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
106,21,1,0,0,1,0,0,1,7,0,0,3,0,1,0,0,1
107,33,1,0,0,1,0,0,1,7,1,0,3,0,1,0,1,0
108,38,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
109,32,0,0,0,1,0,1,0,24,0,0,3,1,1,0,0,1
110,47,1,1,0,0,0,0,1,52,1,0,1,0,0,0,1,0
111,14,0,0,0,1,1,0,0,14,0,0,3,1,0,1,0,0
112,22,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
113,20,0,0,0,1,0,0,1,9,0,0,3,1,0,0,0,1
114,17,1,0,0,1,1,0,0,14,0,0,3,0,0,0,0,1
115,21,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
116,70,1,0,0,1,0,1,0,7,1,0,3,0,0,0,1,0
117,29,0,0,1,0,0,0,1,21,1,0,2,1,0,0,1,0
118,24,0,1,0,0,1,0,0,247,1,1,1,0,0,0,1,0
119,2,0,0,0,1,0,0,1,31,0,2,3,4,0,1,0,0
120,21,0,0,1,0,0,0,1,73,1,0,2,2,0,0,1,0
121,33,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
122,32,0,0,1,0,1,0,0,30,1,0,2,1,0,0,1,0
123,32,1,0,1,0,0,0,1,13,0,0,2,0,1,0,0,1
124,54,0,1,0,0,0,0,1,77,1,1,1,0,0,0,1,0
125,12,0,0,0,1,1,0,0,11,1,0,3,1,1,1,0,0
126,33,1,0,0,1,0,1,0,7,1,0,3,0,0,0,1,0
127,24,1,0,0,1,0,0,1,7,1,0,3,0,1,0,1,0
128,32,0,0,0,1,1,0,0,22,0,1,3,1,1,0,0,1
129,45,1,0,0,1,0,0,1,6,1,0,3,0,0,0,1,0
130,33,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
131,20,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
132,47,0,0,0,1,0,0,1,14,0,0,3,1,0,0,0,1
133,29,0,0,1,0,0,0,1,26,0,0,2,1,1,0,0,1
134,25,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
135,23,1,0,1,0,1,0,0,15,1,0,2,0,0,0,1,0
136,19,0,1,0,0,0,0,1,26,0,2,1,0,1,0,0,1
137,37,0,1,0,0,0,0,1,53,1,0,1,1,0,0,1,0
138,16,1,0,0,1,0,0,1,9,1,0,3,0,0,0,1,0
139,24,1,1,0,0,1,0,0,79,1,0,1,0,0,0,1,0
140,32,0,0,0,1,1,0,0,15,0,2,3,0,0,0,0,1
141,22,1,0,0,1,0,0,1,7,0,0,3,0,1,0,0,1
142,24,0,0,0,1,0,0,1,15,0,0,3,1,1,0,0,1
143,19,1,0,0,1,0,1,0,6,1,0,3,0,0,0,1,0
144,18,1,0,1,0,0,0,1,11,1,0,2,0,0,0,1,0
145,19,0,0,1,0,0,0,1,36,1,1,2,1,0,0,1,0
146,27,1,0,0,1,0,0,1,7,1,0,3,0,1,0,1,0
147,9,0,0,0,1,0,0,1,34,0,2,3,2,0,1,0,0
148,36,0,0,1,0,0,0,1,26,1,2,2,0,0,0,1,0
149,42,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
150,51,1,0,1,0,0,0,1,12,1,0,2,0,0,0,1,0
151,22,0,1,0,0,0,0,1,66,0,0,1,1,1,0,0,1
152,55,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
153,40,0,0,0,1,0,0,1,14,1,2,3,0,0,0,1,0
154,33,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
155,51,0,1,0,0,1,0,0,61,1,1,1,0,0,0,1,0
156,16,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
157,30,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
158,33,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
159,33,0,0,0,1,0,0,1,69,1,2,3,8,0,0,1,0
160,44,0,0,0,1,0,0,1,16,1,1,3,0,0,0,1,0
161,40,1,0,1,0,0,0,1,15,0,0,2,0,1,0,0,1
162,26,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
163,17,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
164,1,0,0,0,1,0,0,1,39,1,1,3,4,0,1,0,0
165,9,0,0,0,1,0,0,1,20,1,2,3,0,1,1,0,0
166,32,0,1,0,0,0,0,1,55,0,1,1,0,1,0,0,1
167,45,0,0,0,1,0,0,1,27,0,4,3,1,0,0,0,1
168,33,1,1,0,0,0,0,1,25,1,0,1,0,0,0,1,0
169,28,1,0,0,1,0,0,1,56,1,0,3,0,0,0,1,0
170,61,1,1,0,0,0,0,1,33,1,0,1,0,0,0,1,0
171,4,0,0,0,1,0,1,0,29,1,1,3,4,0,1,0,0
172,1,0,0,0,1,0,0,1,11,0,1,3,1,1,1,0,0
173,21,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
174,56,1,1,0,0,1,0,0,30,1,0,1,0,0,0,1,0
175,18,0,0,0,1,0,0,1,7,1,1,3,1,0,0,1,0
176,33,0,0,0,1,0,0,1,25,1,1,3,3,0,0,1,0
177,50,1,1,0,0,1,0,0,28,0,0,1,0,0,0,0,1
178,30,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
179,36,1,0,0,1,0,0,1,0,1,0,3,0,0,0,1,0
180,32,0,0,0,1,0,0,1,69,0,2,3,8,0,0,0,1
181,33,1,0,1,0,1,0,0,15,1,0,2,0,0,0,1,0
182,9,0,0,0,1,0,0,1,31,1,2,3,4,0,1,0,0
183,1,0,0,1,0,0,0,1,39,1,1,2,2,1,1,0,0
184,4,0,0,0,1,0,0,1,22,0,2,3,0,1,1,0,0
185,33,1,1,0,0,0,0,1,50,1,0,1,0,0,0,1,0
186,32,0,0,0,1,0,1,0,15,0,0,3,1,1,0,0,1
187,45,1,1,0,0,0,0,1,26,1,0,1,0,1,0,1,0
188,40,0,0,0,1,0,1,0,15,1,1,3,1,0,0,1,0
189,36,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
190,32,1,0,1,0,0,0,1,13,0,0,2,0,1,0,0,1
191,19,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
192,19,0,0,0,1,0,0,1,7,0,0,3,1,1,0,0,1
193,3,0,0,1,0,0,0,1,26,1,1,2,1,1,1,0,0
194,44,1,1,0,0,1,0,0,27,0,0,1,0,1,0,0,1
195,58,1,1,0,0,1,0,0,146,0,0,1,0,1,0,0,1
196,33,1,0,0,1,0,1,0,7,1,0,3,0,0,0,1,0
197,42,0,0,0,1,0,0,1,8,1,1,3,0,0,0,1,0
198,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
199,24,1,0,1,0,0,0,1,13,0,0,2,0,0,0,0,1
200,28,1,0,0,1,0,0,1,9,1,0,3,0,0,0,1,0
201,33,0,0,0,1,0,0,1,69,1,2,3,8,0,0,1,0
202,34,1,0,0,1,0,0,1,6,1,0,3,0,0,0,1,0
203,45,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
204,18,1,0,0,1,0,0,1,8,1,0,3,0,1,0,1,0
205,2,0,0,0,1,0,0,1,10,0,1,3,0,0,1,0,0
206,32,0,0,0,1,0,0,1,15,1,0,3,1,0,0,1,0
207,26,1,0,0,1,1,0,0,18,1,0,3,0,1,0,1,0
208,16,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
209,40,1,1,0,0,1,0,0,31,1,0,1,0,1,0,1,0
210,24,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
211,35,1,0,1,0,0,0,1,21,0,0,2,0,1,0,0,1
212,22,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
213,30,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
214,33,0,0,0,1,0,1,0,7,1,0,3,1,0,0,1,0
215,31,0,1,0,0,1,0,0,113,0,0,1,1,1,0,0,1
216,27,1,0,0,1,0,0,1,7,0,0,3,0,1,0,0,1
217,42,0,0,1,0,0,0,1,27,1,0,2,1,0,0,1,0
218,32,1,1,0,0,1,0,0,76,0,0,1,0,1,0,0,1
219,30,1,0,1,0,0,0,1,10,1,0,2,0,0,0,1,0
220,16,1,0,0,1,0,0,1,8,1,0,3,0,1,0,1,0
221,27,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
222,51,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
223,33,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
224,38,0,1,0,0,0,0,1,90,1,0,1,1,1,0,1,0
225,22,1,0,0,1,0,0,1,9,1,0,3,0,0,0,1,0
226,19,1,0,1,0,0,0,1,10,1,0,2,0,1,0,1,0
227,20,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
228,18,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
229,32,0,0,0,1,0,0,1,25,0,1,3,3,0,0,0,1
230,35,0,1,0,0,0,0,1,83,0,0,1,1,1,0,0,1
231,29,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
232,59,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
233,5,0,0,0,1,0,0,1,31,0,2,3,4,1,1,0,0
234,24,1,0,1,0,0,0,1,10,1,0,2,0,0,0,1,0
235,32,1,0,0,1,0,0,1,7,0,0,3,0,0,0,0,1
236,44,0,0,1,0,0,0,1,26,1,0,2,1,0,0,1,0
237,8,0,0,1,0,0,0,1,26,0,2,2,0,1,1,0,0
238,19,1,0,1,0,0,0,1,10,1,0,2,0,0,0,1,0
239,33,1,0,1,0,0,0,1,12,1,0,2,0,0,0,1,0
240,32,0,0,0,1,1,0,0,14,0,0,3,1,0,0,0,1
241,32,0,0,0,1,0,1,0,15,0,0,3,1,1,0,0,1
242,29,1,0,1,0,0,0,1,10,1,0,2,0,0,0,1,0
243,22,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
244,30,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
245,44,0,1,0,0,0,1,0,90,1,0,1,2,0,0,1,0
246,25,1,0,0,1,0,0,1,7,0,0,3,0,0,0,0,1
247,24,0,0,1,0,0,0,1,14,0,2,2,0,1,0,0,1
248,37,0,1,0,0,0,0,1,52,1,1,1,1,1,0,1,0
249,54,0,0,1,0,0,0,1,26,1,0,2,1,0,0,1,0
250,33,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
251,29,0,0,0,1,0,0,1,10,0,1,3,1,0,0,0,1
252,62,1,1,0,0,0,0,1,26,1,0,1,0,0,0,1,0
253,30,0,0,0,1,0,0,1,16,1,0,3,1,0,0,1,0
254,41,0,0,0,1,0,0,1,20,0,2,3,0,0,0,0,1
255,29,0,0,0,1,1,0,0,15,0,2,3,0,1,0,0,1
256,32,1,1,0,0,1,0,0,79,0,0,1,0,1,0,0,1
257,30,1,1,0,0,0,0,1,86,0,0,1,0,1,0,0,1
258,35,1,1,0,0,1,0,0,512,0,0,1,0,1,0,0,1
259,50,0,0,1,0,0,0,1,26,0,1,2,0,1,0,0,1
260,33,1,0,0,1,0,1,0,7,1,0,3,0,0,0,1,0
261,3,0,0,0,1,0,0,1,31,1,2,3,4,1,1,0,0
262,52,0,1,0,0,0,0,1,79,1,1,1,1,0,0,1,0
263,40,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
264,32,1,0,0,1,0,1,0,7,0,0,3,0,0,0,0,1
265,36,1,0,1,0,0,0,1,10,1,0,2,0,0,0,1,0
266,16,0,0,0,1,0,0,1,39,1,1,3,4,0,0,1,0
267,25,0,0,0,1,0,0,1,7,1,0,3,1,1,0,1,0
268,58,0,1,0,0,0,0,1,153,0,1,1,0,1,0,0,1
269,35,1,1,0,0,0,0,1,135,0,0,1,0,1,0,0,1
270,33,1,1,0,0,0,0,1,31,1,0,1,0,0,0,1,0
271,25,1,0,0,1,0,0,1,0,1,0,3,0,1,0,1,0
272,41,0,0,1,0,0,0,1,19,0,1,2,0,1,0,0,1
273,37,0,1,0,0,1,0,0,29,1,1,1,0,0,0,1,0
274,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
275,63,0,1,0,0,0,0,1,77,0,0,1,1,1,0,0,1
276,45,1,0,0,1,0,0,1,7,0,0,3,0,0,0,0,1
277,33,1,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0
278,7,0,0,0,1,0,1,0,29,1,1,3,4,0,1,0,0
279,35,0,0,0,1,0,0,1,20,0,1,3,1,1,0,0,1
280,65,1,0,0,1,0,1,0,7,1,0,3,0,0,0,1,0
281,28,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
282,16,1,0,0,1,0,0,1,9,1,0,3,0,0,0,1,0
283,19,1,0,0,1,0,0,1,8,1,0,3,0,1,0,1,0
284,33,1,1,0,0,0,0,1,26,1,0,1,0,0,0,1,0
285,33,1,0,0,1,1,0,0,8,1,0,3,0,0,0,1,0
286,30,1,0,0,1,0,0,1,9,1,0,3,0,1,0,1,0
287,22,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
288,42,1,0,1,0,0,0,1,13,1,0,2,0,1,0,1,0
289,22,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
290,26,1,1,0,0,0,0,1,78,0,0,1,0,1,0,0,1
291,19,0,1,0,0,1,0,0,91,0,0,1,1,1,0,0,1
292,36,1,0,1,0,1,0,0,12,1,0,2,0,0,0,1,0
293,24,1,0,0,1,0,0,1,8,0,0,3,0,0,0,0,1
294,24,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
295,33,1,1,0,0,1,0,0,27,1,0,1,0,0,0,1,0
296,23,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
297,2,0,1,0,0,0,0,1,151,0,2,1,1,0,1,0,0
298,33,1,1,0,0,0,0,1,30,1,0,1,0,1,0,1,0
299,50,0,1,0,0,1,0,0,247,0,1,1,0,1,0,0,1
300,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
301,33,0,0,0,1,0,1,0,23,1,0,3,2,1,0,1,0
302,19,1,0,0,1,0,0,1,0,1,0,3,0,0,0,1,0
303,32,1,0,1,0,0,1,0,12,0,0,2,0,1,0,0,1
304,33,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
305,0,0,1,0,0,0,0,1,151,1,2,1,1,1,1,0,0
306,32,1,1,0,0,1,0,0,110,0,0,1,0,1,0,0,1
307,17,0,1,0,0,1,0,0,108,0,0,1,1,1,0,0,1
308,30,0,0,1,0,1,0,0,24,1,0,2,1,0,0,1,0
309,30,1,1,0,0,1,0,0,56,0,0,1,0,1,0,0,1
310,24,1,1,0,0,1,0,0,83,0,0,1,0,1,0,0,1
311,18,0,1,0,0,1,0,0,262,0,2,1,2,1,0,0,1
312,26,0,0,1,0,0,0,1,26,0,1,2,1,0,0,0,1
313,28,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
314,43,0,0,1,0,0,0,1,26,1,1,2,1,0,0,1,0
315,26,1,0,0,1,0,0,1,7,0,0,3,0,1,0,0,1
316,24,0,0,1,0,0,0,1,26,0,0,2,1,1,0,0,1
317,54,1,0,1,0,0,0,1,14,1,0,2,0,0,0,1,0
318,31,0,1,0,0,0,0,1,164,0,2,1,0,1,0,0,1
319,40,0,1,0,0,1,0,0,134,0,1,1,1,1,0,0,1
320,22,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
321,27,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
322,30,1,0,1,0,0,1,0,12,0,0,2,0,1,0,0,1
323,22,0,0,1,0,0,0,1,29,0,1,2,1,1,0,0,1
324,33,0,0,0,1,0,0,1,69,1,2,3,8,0,0,1,0
325,36,1,1,0,0,1,0,0,135,0,0,1,0,1,0,0,1
326,61,1,0,0,1,0,0,1,6,1,0,3,0,0,0,1,0
327,36,1,0,1,0,0,0,1,13,0,0,2,0,1,0,0,1
328,31,0,0,0,1,0,0,1,20,0,1,3,1,1,0,0,1
329,16,0,1,0,0,1,0,0,57,0,1,1,0,1,0,0,1
330,32,0,0,0,1,0,1,0,23,0,0,3,2,1,0,0,1
331,45,1,1,0,0,0,0,1,28,1,0,1,0,0,0,1,0
332,38,0,1,0,0,0,0,1,153,1,1,1,0,0,0,1,0
333,16,0,0,0,1,0,0,1,18,1,0,3,2,0,0,1,0
334,32,0,1,0,0,0,0,1,133,0,0,1,1,1,0,0,1
335,33,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
336,29,0,1,0,0,0,0,1,66,1,0,1,1,0,0,1,0
337,41,1,1,0,0,1,0,0,134,0,0,1,0,1,0,0,1
338,45,1,0,0,1,0,0,1,8,1,0,3,0,1,0,1,0
339,45,1,1,0,0,0,0,1,35,1,0,1,0,0,0,1,0
340,2,0,0,1,0,0,0,1,26,1,1,2,1,1,1,0,0
341,24,0,1,0,0,0,0,1,263,0,2,1,3,1,0,0,1
342,28,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
343,25,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
344,36,1,0,1,0,0,0,1,13,1,0,2,0,0,0,1,0
345,24,1,0,1,0,0,0,1,13,0,0,2,0,1,0,0,1
346,40,1,0,1,0,0,0,1,13,0,0,2,0,1,0,0,1
347,32,0,0,0,1,0,0,1,16,0,0,3,1,1,0,0,1
348,3,0,0,0,1,0,0,1,15,1,1,3,1,1,1,0,0
349,42,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
350,23,1,0,0,1,0,0,1,9,1,0,3,0,0,0,1,0
351,33,1,1,0,0,0,0,1,35,1,0,1,0,0,0,1,0
352,15,0,0,0,1,1,0,0,7,1,1,3,1,0,1,0,0
353,25,0,0,0,1,0,0,1,17,1,0,3,1,0,0,1,0
354,33,1,0,0,1,1,0,0,7,1,0,3,0,0,0,1,0
355,28,1,0,0,1,0,0,1,9,1,0,3,0,0,0,1,0
356,22,0,1,0,0,0,0,1,55,0,1,1,0,1,0,0,1
357,38,1,0,1,0,0,0,1,13,0,0,2,0,0,0,0,1
358,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
359,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
360,40,0,0,0,1,0,0,1,27,1,4,3,1,0,0,1,0
361,29,0,0,1,0,1,0,0,27,1,0,2,1,0,0,1,0
362,45,0,0,0,1,1,0,0,14,0,1,3,0,0,0,0,1
363,35,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
364,33,0,0,0,1,0,1,0,15,1,0,3,1,0,0,1,0
365,30,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
366,60,0,1,0,0,1,0,0,75,0,0,1,1,1,0,0,1
367,32,1,0,0,1,1,0,0,7,0,0,3,0,1,0,0,1
368,32,1,0,0,1,0,1,0,7,0,0,3,0,1,0,0,1
369,24,1,1,0,0,1,0,0,69,0,0,1,0,1,0,0,1
370,25,0,1,0,0,1,0,0,55,1,0,1,1,1,0,1,0
371,18,0,0,0,1,0,0,1,6,1,0,3,1,0,0,1,0
372,19,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
373,22,1,1,0,0,1,0,0,135,1,0,1,0,0,0,1,0
374,3,0,0,0,1,0,0,1,21,0,1,3,3,0,1,0,0
375,32,0,1,0,0,1,0,0,82,0,0,1,1,1,0,0,1
376,22,1,0,0,1,0,0,1,7,0,0,3,0,1,0,0,1
377,27,0,1,0,0,1,0,0,211,1,2,1,0,0,0,1,0
378,20,1,0,0,1,1,0,0,4,1,0,3,0,0,0,1,0
379,19,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
380,42,1,1,0,0,1,0,0,227,0,0,1,0,1,0,0,1
381,1,0,0,0,1,1,0,0,15,0,2,3,0,1,1,0,0
382,32,1,0,0,1,0,0,1,7,1,0,3,0,0,0,1,0
383,35,0,1,0,0,0,0,1,52,0,0,1,1,1,0,0,1
